     Angle,       PSD,
   14.7135,        34,
   14.7236,        41,
   14.7337,        43,
   14.7438,        34,
   14.7539,        29,
   14.7641,        30,
   14.7742,        32,
   14.7843,        31,
   14.7944,        27,
   14.8045,        31,
   14.8147,        37,
   14.8248,        34,
   14.8349,        35,
    14.845,        40,
   14.8551,        30,
   14.8652,        34,
   14.8754,        31,
   14.8855,        35,
   14.8956,        16,
   14.9057,        32,
   14.9158,        43,
    14.926,        41,
   14.9361,        37,
   14.9462,        50,
   14.9563,        40,
   14.9664,        34,
   14.9766,        42,
   14.9867,        36,
   14.9968,        48,
   15.0069,        42,
    15.017,        42,
   15.0271,        25,
   15.0373,        30,
   15.0474,        31,
   15.0575,        26,
   15.0676,        21,
   15.0777,        39,
   15.0879,        33,
    15.098,        31,
   15.1081,        37,
   15.1182,        34,
   15.1283,        24,
   15.1385,        38,
   15.1486,        35,
   15.1587,        21,
   15.1688,        30,
   15.1789,        28,
    15.189,        34,
   15.1992,        23,
   15.2093,        42,
   15.2194,        32,
   15.2295,        32,
   15.2396,        26,
   15.2498,        21,
   15.2599,        28,
     15.27,        32,
   15.2801,        30,
   15.2902,        34,
   15.3003,        36,
   15.3105,        35,
   15.3206,        38,
   15.3307,        29,
   15.3408,        25,
   15.3509,        25,
   15.3611,        36,
   15.3712,        41,
   15.3813,        28,
   15.3914,        31,
   15.4015,        31,
   15.4117,        24,
   15.4218,        30,
   15.4319,        32,
    15.442,        32,
   15.4521,        38,
   15.4622,        24,
   15.4724,        36,
   15.4825,        26,
   15.4926,        16,
   15.5027,        32,
   15.5128,        20,
    15.523,        29,
   15.5331,        30,
   15.5432,        33,
   15.5533,        38,
   15.5634,        29,
   15.5735,        29,
   15.5837,        29,
   15.5938,        33,
   15.6039,        37,
    15.614,        22,
   15.6241,        21,
   15.6343,        36,
   15.6444,        37,
   15.6545,        25,
   15.6646,        32,
   15.6747,        37,
   15.6849,        23,
    15.695,        30,
   15.7051,        30,
   15.7152,        30,
   15.7253,        28,
   15.7354,        32,
   15.7456,        41,
   15.7557,        33,
   15.7658,        25,
   15.7759,        36,
    15.786,        26,
   15.7962,        30,
   15.8063,        28,
   15.8164,        20,
   15.8265,        22,
   15.8366,        26,
   15.8468,        36,
   15.8569,        32,
    15.867,        26,
   15.8771,        30,
   15.8872,        32,
   15.8973,        31,
   15.9075,        33,
   15.9176,        42,
   15.9277,        31,
   15.9378,        28,
   15.9479,        32,
   15.9581,        22,
   15.9682,        24,
   15.9783,        29,
   15.9884,        29,
   15.9985,        24,
   16.0086,        20,
   16.0188,        26,
   16.0289,        32,
    16.039,        38,
   16.0491,        32,
   16.0592,        31,
   16.0694,        30,
   16.0795,        32,
   16.0896,        24,
   16.0997,        35,
   16.1098,        29,
     16.12,        29,
   16.1301,        34,
   16.1402,        31,
   16.1503,        31,
   16.1604,        25,
   16.1705,        32,
   16.1807,        39,
   16.1908,        43,
   16.2009,        31,
    16.211,        33,
   16.2211,        26,
   16.2313,        26,
   16.2414,        32,
   16.2515,        21,
   16.2616,        31,
   16.2717,        32,
   16.2819,        37,
    16.292,        32,
   16.3021,        23,
   16.3122,        39,
   16.3223,        33,
   16.3324,        33,
   16.3426,        23,
   16.3527,        23,
   16.3628,        38,
   16.3729,        36,
    16.383,        33,
   16.3932,        21,
   16.4033,        33,
   16.4134,        25,
   16.4235,        21,
   16.4336,        29,
   16.4437,        20,
   16.4539,        31,
    16.464,        35,
   16.4741,        34,
   16.4842,        24,
   16.4943,        30,
   16.5045,        28,
   16.5146,        33,
   16.5247,        29,
   16.5348,        19,
   16.5449,        25,
   16.5551,        22,
   16.5652,        28,
   16.5753,        23,
   16.5854,        26,
   16.5955,        24,
   16.6056,        24,
   16.6158,        32,
   16.6259,        21,
    16.636,        41,
   16.6461,        27,
   16.6562,        30,
   16.6664,        32,
   16.6765,        19,
   16.6866,        32,
   16.6967,        28,
   16.7068,        31,
   16.7169,        24,
   16.7271,        31,
   16.7372,        44,
   16.7473,        26,
   16.7574,        34,
   16.7675,        34,
   16.7777,        28,
   16.7878,        26,
   16.7979,        27,
    16.808,        28,
   16.8181,        28,
   16.8283,        42,
   16.8384,        35,
   16.8485,        27,
   16.8586,        19,
   16.8687,        30,
   16.8788,        35,
    16.889,        46,
   16.8991,        35,
   16.9092,        39,
   16.9193,        41,
   16.9294,        26,
   16.9396,        50,
   16.9497,        32,
   16.9598,        31,
   16.9699,        35,
     16.98,        32,
   16.9902,        37,
   17.0003,        37,
   17.0104,        38,
   17.0205,        44,
   17.0306,        37,
   17.0407,        34,
   17.0509,        34,
    17.061,        40,
   17.0711,        24,
   17.0812,        36,
   17.0913,        40,
   17.1015,        21,
   17.1116,        29,
   17.1217,        26,
   17.1318,        27,
   17.1419,        33,
    17.152,        34,
   17.1622,        28,
   17.1723,        29,
   17.1824,        29,
   17.1925,        41,
   17.2026,        27,
   17.2128,        26,
   17.2229,        33,
    17.233,        24,
   17.2431,        31,
   17.2532,        25,
   17.2634,        35,
   17.2735,        18,
   17.2836,        22,
   17.2937,        26,
   17.3038,        38,
   17.3139,        26,
   17.3241,        32,
   17.3342,        32,
   17.3443,        21,
   17.3544,        29,
   17.3645,        29,
   17.3747,        28,
   17.3848,        27,
   17.3949,        28,
    17.405,        20,
   17.4151,        35,
   17.4252,        33,
   17.4354,        26,
   17.4455,        28,
   17.4556,        18,
   17.4657,        35,
   17.4758,        37,
    17.486,        25,
   17.4961,        29,
   17.5062,        19,
   17.5163,        30,
   17.5264,        25,
   17.5366,        33,
   17.5467,        24,
   17.5568,        27,
   17.5669,        37,
    17.577,        37,
   17.5871,        26,
   17.5973,        19,
   17.6074,        25,
   17.6175,        33,
   17.6276,        28,
   17.6377,        23,
   17.6479,        33,
    17.658,        38,
   17.6681,        27,
   17.6782,        30,
   17.6883,        37,
   17.6985,        29,
   17.7086,        30,
   17.7187,        45,
   17.7288,        33,
   17.7389,        31,
    17.749,        17,
   17.7592,        31,
   17.7693,        26,
   17.7794,        20,
   17.7895,        29,
   17.7996,        34,
   17.8098,        29,
   17.8199,        21,
     17.83,        29,
   17.8401,        30,
   17.8502,        27,
   17.8603,        22,
   17.8705,        32,
   17.8806,        21,
   17.8907,        31,
   17.9008,        34,
   17.9109,        26,
   17.9211,        27,
   17.9312,        36,
   17.9413,        28,
   17.9514,        41,
   17.9615,        34,
   17.9717,        34,
   17.9818,        37,
   17.9919,        32,
    18.002,        29,
   18.0121,        38,
   18.0222,        27,
   18.0324,        33,
   18.0425,        26,
   18.0526,        29,
   18.0627,        26,
   18.0728,        24,
    18.083,        21,
   18.0931,        42,
   18.1032,        23,
   18.1133,        32,
   18.1234,        45,
   18.1336,        34,
   18.1437,        36,
   18.1538,        43,
   18.1639,        19,
    18.174,        35,
   18.1841,        26,
   18.1943,        34,
   18.2044,        23,
   18.2145,        32,
   18.2246,        35,
